review_id,place_id,place_name,wilayah,kategori,rating,review_text,review_date,reviewer_name,reviewer_id,is_local_guide,likes_count,original_language,scraped_at
Ci9DQUlRQUNvZENodHljRjlvT2tKUE9VVjBkMFJUWkVjM1pWcE9WM3BKWmpaeldrRRAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,"Menurut saya Teringat Kopi jadi salah satu coffee shop di Indramayu yang punya space cukup luas. Area duduknya juga variatif, ada indoor ber-AC, meeting room, public space, sampai outdoor yang lumayan lega.
Selain buat nongkrong santai, tempat ini juga cocok kalau lagi cari tempat buat meeting kecil atau bahkan bikin event.
Untuk harga masih standar coffee shop. Beberapa menu yang saya coba di sini ada Coldbrew (28k), Kopi Susu Ngeunah (25k), Brulee Bomb (25k), dan Banana Split (22k). Overall rasanya enak-enak.
Pelayanannya juga oke, ramah dan cukup informatif. Tempatnya cozy dan nyaman buat duduk lama.
Overall recommended kalau lagi cari coffee shop di Indramayu yang tempatnya luas",2026-03-11T04:34:36.560Z,Abkolik,107076596488869827141,True,0,id,2026-05-05T05:19:07.456957
Ci9DQUlRQUNvZENodHljRjlvT2xaNE5HeEpXR1ZLV0dGQmFWcFZXbXM1YkVjellYYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,1,"Pesanan terlalu lama, hampir lebih dari 1 jam",2026-03-08T12:01:37.638Z,Arya Andriawan,115484951971274525290,False,0,id,2026-05-05T05:19:07.456972
Ci9DQUlRQUNvZENodHljRjlvT25nNGRFRm9kbmszYzBkVlZuUXRkMnRSTmtOTU0zYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,masnya jago bgt fotoin😭😭❤️,2026-03-06T03:45:52.451Z,Dea Maharani,117278454350181497950,False,0,id,2026-05-05T05:19:07.456980
Ci9DQUlRQUNvZENodHljRjlvT2toSVJ6TlljMlYxWWtORlZtMVVabFE0UW0xd1MwRRAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,1,Pelayanan ko sangat lama ya udah boking tapi makanan dateng nya habis isha iziiin🙏,2026-03-05T08:39:54.759Z,Jenal Arifin,101925986576867474642,False,0,id,2026-05-05T05:19:07.456989
Ci9DQUlRQUNvZENodHljRjlvT214QlV6QnJVbUZUTWpoSk5IRjBjRWRMYVVKd2NXYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,"saya pernah ngadain acara rapat disitu, overall makanan enak, pelayanan juga ramah, suasana oke banget bisa buat nyantai/acara keluarga, untuk parkiran luas banget, harga nya juga terjangkau sekali. next acara lagi saya mau di teringat kopi🥶🥶",2026-03-05T06:33:54.400Z,charul anam,102608408275896794070,False,0,id,2026-05-05T05:19:07.456997
Ci9DQUlRQUNvZENodHljRjlvT214TVNqTkZZMnRwWDA1U01VRmtiMHB4VFhCS2JXYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,"Alhamdulillah, engga salah pilih tempat untuk berbuka puasa karyawan ramah ramah, rasa makanan nya mantap tadi pesen ayam kebangetan, chezy roll pizza pepperoni rasanya mantap... Minumnya lime mint es dan kopi ngeunah 👍",2026-03-04T17:48:01.801Z,Amira 015,113151480552387525214,False,0,id,2026-05-05T05:19:07.457006
Ci9DQUlRQUNvZENodHljRjlvT2sxVk1HbE9RVVZPUWtwdVZsSXdPVWgyZFVsbVlVRRAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,sangat memuaskan terima kasih atas pelayanan nya,2026-03-04T13:57:18.097Z,Z Bule,107467250966343808395,False,0,id,2026-05-05T05:19:07.457028
Ci9DQUlRQUNvZENodHljRjlvT210bVdHMUNiVkI0Y2xCbWNITlFlVkEyYVhocFpuYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,cocok unt bukber bersama keluarga/ teman makanannya enak enak porsinya wort it,2026-03-04T13:56:24.074Z,Anjelia Putri,102432494300266284420,False,0,id,2026-05-05T05:19:07.457037
Ci9DQUlRQUNvZENodHljRjlvT2pNMlRreHhZbWhYWjBaM2FWZ3lUM1pXVldkRU4zYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,"makanan enak dan sudah tersaji pas datang, kopinya favorit banget..
service juga ramah dan cekatan aa dan tetehnya..
paling suka karena banyak spot foto..",2026-03-04T13:46:48.141Z,jesica lyn,115433429896510268807,False,0,id,2026-05-05T05:19:07.457047
Ci9DQUlRQUNvZENodHljRjlvT2xkZlpXY3liMVpOVlVkdU1VTk5hbGxRWldkU2NsRRAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,5,"Habis bukber disini, suka sama suasananya..
Makanan enak2 dan variatif jd bnyk pilihan..
Walau agak lama tapi maklum karena emang full n rame banget.. ❤",2026-03-04T13:40:59.442Z,Intan Rahmadany,109898912744269654239,False,0,id,2026-05-05T05:19:07.457057
Ci9DQUlRQUNvZENodHljRjlvT21oNFpUTXRVbDlxZVRObVJFZG1TMUJYUkdoWE5uYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,1,"Ngak sesuai sama gambar, yang menu digambar besar dan banyak dan lengkap tetapi yang dateng malah kecil banget, sedikit, nga komplit tidak ada tomat,. Harusnya harga mahal rasa mewah kok ini bikin mengecewakan dan berantakan tidak aesthetic seperti di menu foto,sendok juga ngak bersih sebelum di pakai masih KOTOR yg nyucinya gimana sih!, JUJUR SANGAT KECEWA PARAHH",2026-03-04T11:45:43.967Z,Yang Gampang,118118666980068951593,False,0,id,2026-05-05T05:19:07.457067
Ci9DQUlRQUNvZENodHljRjlvT25GcE4xTm1Ra1kwVDFZd2RWTk5RVzlLWTFFMlJGRRAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,4,"Asik juga sih, makan sambil nyantai....",2026-03-04T11:42:08.446Z,Glamakan Sikil,106743554624569969394,True,0,id,2026-05-05T05:19:07.457076
Ci9DQUlRQUNvZENodHljRjlvT2tGdGRuUjVUVGxuUVRGMFMyWTBkWEIwWnpSUFkyYxAB,ChIJdTfs1IG5bi4RNR9SDqby0eQ,Teringat Kopi,indramayu,Nongkrong,1,Pelayanan lama dari saya datang sampai 1 jam makanan belum datang,2026-03-04T11:27:01.639Z,Bimo Akbar Riady,109906440654056694034,True,0,id,2026-05-05T05:19:07.457085
